station,lat,long
"Meckelfeld, Schulzentrum",53.412786,10.024318
An der Eiche,53.434255,10.010315
Küstersweg,53.437598,10.003848
Radickestraße,53.440045,10.001393
Mensingstraße,53.442568,9.997283
Höpenstraße,53.441483,10.003488
Zum Jägerfeld,53.435672,9.977108
"Meckelfeld, Mattenmoorstraße",53.421245,10.025981
"Glüsingen, Triftweg",53.410359,10.020125
"Meckelfeld, Am Grasweg",53.417087,10.020481
Sinstorfer Kirche,53.424227,9.973566
Marienkäferweg,53.425563,9.963879
Vorderkamp,53.439542,10.010907
Grenzkehre,53.416545,9.984446
Außenmühle,53.45017,9.982138
Einhausring,53.434012,9.989905
Eißendorfer Mühlenweg,53.448091,9.961604
Osterfeldweg,53.435991,9.972255
Feuerteichweg,53.436709,9.966719
Marmstorfer Kirche,53.439434,9.967549
Nymphenweg,53.441951,9.968599
Rabenstein,53.446455,9.969364
Marmstorfer Weg (Nord),53.452135,9.972639
Up den Wiemen (EKZ Marmstorf),53.440677,9.959465
Appelbütteler Weg,53.436598,9.934424
Langenberg,53.439629,9.94206
Schafshagenberg,53.441009,9.946034
Vogelhüttenberg,53.442748,9.949955
Neuer Friedhof,53.44638,9.957487
Gottschalkring,53.449732,9.966353
Beutnerring,53.443312,9.955747
Groß Moor,53.445042,10.046301
Fünfhausener Straße (Süd),53.446077,10.033759
Kanzlershofer Weg,53.447876,10.023101
Großmoordamm 181,53.448924,10.017196
Großmoordamm 121,53.451411,10.009954
Großmoorbogen,53.453125,10.005976
Wohlersweg,53.455929,9.999554
Großmoorring,53.456884,10.00888
Neuländer Weg,53.462939,10.006901
Ziegelerstraße,53.498473,9.991181
Rathaus Wilhelmsburg,53.499225,9.99694
Dratelnstraße,53.498546,9.999652
Rotenhäuser Straße (West),53.504514,9.991985
Neuhöfer Straße (Ost),53.510236,9.992119
Vogelhüttendeich,53.515976,9.993414
Werkcentrum Elbinsel,53.520042,10.000445
Harburger Chaussee,53.520751,10.007005
Neuhöfer Straße (Mitte),53.510705,9.982121
Veringstraße (Mitte),53.510435,9.987707
Krankenhaus Groß-Sand,53.506269,9.986178
Stübenplatz,53.517519,9.987194
Industriestraße,53.517049,9.982072
Mengestraße,53.501641,9.991632
Norderkirchenweg,53.528265,9.864359
Estebogen,53.53063,9.772218
Altes Estesperrwerk,53.533611,9.775455
Cranz (Fähre),53.535533,9.779653
Cranzer Elbdeich (West),53.540327,9.774763
Sperrwerk Estemündung,53.533776,9.794084
Neuenfelder Damm,53.529944,9.805458
AIRBUS,53.536559,9.848028
Rudolf-Kinau-Allee,53.53567,9.853047
Nordmeerstraße,53.534614,9.859934
Kneienblick,53.533922,9.866149
Norderschulweg,53.533466,9.875686
Finkenwerder (Fähre),53.535148,9.87916
Emder Straße,53.530118,9.878829
Auedeich,53.526899,9.884071
Osterfelddeich,53.519755,9.885354
Aluminiumwerk,53.517923,9.89002
Steendiek,53.532824,9.87875
Finkenwerder Landscheideweg,53.528217,9.859789
Nordmeertwiete,53.531844,9.859018
AIRBUS (Kehre),53.536942,9.847205
Dradenaubrücke,53.514053,9.911179
Zollamt Waltershof,53.520065,9.92628
Ernastraße,53.518712,9.98309
Nippoldstraße (Ost),53.514684,9.969097
Neuhöfer Damm,53.512776,9.969521
Röörfeld,53.518953,9.952324
Nippoldstraße (West),53.520694,9.944628
Argentinienbrücke (Fähre),53.527975,9.974438
Neuhof (Fähre),53.524614,9.942077
Roßweg/HDW,53.523097,9.94524
Reiherstieg Hauptdeich,53.511214,9.978183
Nehlsstraße,53.530153,9.969677
Norderloch,53.537605,9.967012
Steinwerder (Alter Elbtunnel),53.541808,9.966157
Steinwerder (Fähre),53.540405,9.966382
Roßkanal,53.522034,9.947854
Hachmannbrücke,53.520409,9.951135
Kreuzkirche Kirchdorf,53.486885,10.015453
Am Papenbrack,53.488025,10.009197
Hinter der Dorfkirche,53.490433,10.008155
Schwentnerring,53.493586,10.010354
Krieterstraße,53.496381,10.009275
Neuenfelder Straße (Schule),53.493255,10.013375
S Wilhelmsburg,53.497243,10.007141
Aurubis Werk Ost,53.515304,10.03445
Siedenfelder Weg (Mitte),53.495073,10.02047
Siedenfelder Weg (West),53.496997,10.015016
Thielenstraße (Ost),53.500739,10.013448
Im Schönenfelde,53.500416,10.017675
Wilhelmsburger Mühle,53.499817,10.025678
Niedergeorgswerder Deich (Süd),53.503415,10.027348
Hövelbrook,53.507302,10.022543
Rahmwerder Straße,53.5116,10.021124
Fiskalische Straße (Energieberg),53.516008,10.020521
S Veddel,53.521001,10.013464
Wilhelmsburger Platz,53.522863,10.016419
Hovestraße (Kehre),53.516419,10.0499
Hovestraße 68,53.517767,10.045727
Hovestraße 49,53.519872,10.03925
Aurubis Zentrale,53.521803,10.033191
Peutestraße 22,53.524033,10.036125
Müggenburger Schleuse,53.513213,10.05582
Peutestraße 72,53.518776,10.051586
Peutestraße 50,53.520366,10.047585
Peuter Elbdeich,53.521584,10.043861
Hovestraße 44,53.522643,10.030572
Hovestieg,53.525045,10.02187
Oberwerder Damm,53.525271,10.027017
Algermissenstraße,53.49748,10.012104
Kattwykdamm,53.493084,9.975641
Weidendamm,53.480906,10.006317
Kornweide,53.48158,9.993333
Hohe Schaar,53.480331,9.982534
Heuckenlock,53.476251,10.038831
Kirchdorfer Straße (Museum Elbinsel),53.49106,10.019003
Friedhof Finkenriek,53.474814,10.011595
König-Georg-Deich,53.477879,9.995385
Haulander Weg,53.488365,9.990072
Trettaustraße,53.493967,9.990624
Am Callabrack,53.482761,10.010036
Stübenhofer Weg,53.483895,10.012007
Karl-Arnold-Ring,53.485665,10.017262
Kirchdorf (Süd),53.484435,10.019311
Freiluftschule Moorwerder,53.463549,10.06195
Moorwerder Osterdeich,53.467549,10.060785
Moorwerder Mühle,53.470461,10.060677
Moorwerder Norderdeich (Ost),53.47323,10.060565
Moorwerder Norderdeich (Fußweg),53.476095,10.058709
Bauernstegel,53.479607,10.054759
Goetjensorter Deich,53.490622,10.047815
Einlagedeich,53.479356,10.045534
Stillhorner Hauptdeich,53.48027,10.026065
Moorwerder Hauptdeich 69,53.472619,10.046317
Moorwerder Hauptdeich 35,53.465878,10.055623
Burgweide,53.486579,10.022782
Stübenhofer Wettern,53.485256,10.024106
Dahlgrünring,53.48356,10.018627
Auf der Hohen Schaar,53.497406,9.964574
Hohe-Schaar-Kamp,53.496329,9.971105
Tribünenweg,53.559595,10.081077
Caspar-Voght-Straße,53.560524,10.061541
Gladowstraße,53.579489,10.074035
Am Husarendenkmal,53.565142,10.077671
Ziesenißstraße,53.567649,10.074716
U Wandsbek Markt,53.571883,10.068544
Bahngärten,53.570491,10.078411
Wendemuthstraße,53.574325,10.073723
Hogrevestraße,53.576796,10.072759
Hammer Straße,53.569187,10.062483
Bf. Hasselbrook,53.565306,10.057299
U S Wandsbeker Chaussee,53.570031,10.058534
Holzmühlenstraße,53.576607,10.081707
U Alter Teichweg,53.586129,10.064962
Schön Klinik Eilbek,53.578671,10.049842
Gluckstraße,53.571593,10.039205
U Ritterstraße,53.567221,10.043958
Fichtestraße,53.56852,10.051492
Wagnerstraße,53.570131,10.039924
Maxstraße,53.572144,10.047129
Seumestraße,53.573599,10.052283
S Friedrichsberg,53.575759,10.058058
Krausestraße,53.580084,10.057683
Straßburger Platz,53.581107,10.061846
U Straßburger Straße,53.582253,10.066435
Eulenkamp,53.583464,10.072611
Kedenburgstraße,53.575053,10.087646
Josephstraße,53.573005,10.080589
Lämmersieth (Mitte),53.584206,10.053845
Wandsbeker Allee,53.57997,10.069457
Feuerwehrakademie Hamburg,53.526604,10.079602
Bredowstraße (Mitte),53.52477,10.082737
Moorfleeter Straße (Süd),53.52332,10.089953
Pinkertweg (Mitte),53.527073,10.093262
Liebigstraße (Mitte),53.532764,10.094856
Liebigstraße 30,53.534131,10.086837
Wöhlerstraße,53.535703,10.083017
Grusonstraße,53.531567,10.080287
Moorfleeter Straße (Mitte),53.529327,10.094375
Borsigstraße (Mitte),53.533345,10.07439
Billstedter Hauptstraße,53.540854,10.101371
U Billstedt,53.542065,10.107451
Schiffbeker Höhe,53.547914,10.107498
Querkamp,53.551332,10.094446
U Rauhes Haus,53.554057,10.065348
Culinstraße,53.55201,10.073233
Bauerberg,53.550457,10.077962
Horner Rampe,53.547357,10.085004
Horner Brückenweg,53.545179,10.089323
Washingtonallee,53.542647,10.095021
Eekholtesweg,53.540693,10.083672
Blaue Brücke,53.538294,10.083596
U Horner Rennbahn,53.554504,10.084583
Dannerallee,53.55989,10.108687
Spliedtring,53.56254,10.108696
Böcklerstraße,53.563628,10.107653
Sievekingdamm,53.560563,10.05208
Horner Kreisel,53.559643,10.067722
Rhiemsweg,53.558061,10.074775
O'Swaldstraße,53.556443,10.079804
Hammer Steindamm,53.560774,10.055692
Am Elisabethgehölz,53.557196,10.061941
Öjendorfer Weg,53.545614,10.114212
Mühlenhagen,53.536633,10.067519
Billbrookdeich,53.535847,10.076972
Meriandamm,53.552309,10.111295
Prinzenweg,53.554751,10.113426
Manshardtstraße,53.557887,10.116316
Fuchsbergredder,53.560143,10.118186
Aschenputtelstraße,53.562127,10.119355
Rübezahlstraße,53.563851,10.120382
Friedhof Öjendorf (Haupteingang),53.55734,10.121975
Friedhof Öjendorf (Feierhallen),53.556884,10.12643
Friedhof Öjendorf (Süd-Ring),53.554236,10.123357
Friedhof Öjendorf (Ost-Ring),53.555029,10.131647
Kattensteert,53.5498,10.099868
Friedhof Öjendorf (Nord-Ring),53.559121,10.125539
Sandkamp,53.553678,10.090447
"Barsbüttel, Zum Dicken Busch",53.569572,10.152837
Kinderkrankenhaus Wilhelmstift,53.588948,10.159904
Gustav-Adolf-Straße,53.570456,10.083256
Bovestraße,53.569165,10.084974
AK Wandsbek,53.568655,10.091633
Osterkamp,53.569663,10.100218
Universität der Bundeswehr,53.570152,10.105649
Am Hohen Feld,53.571007,10.116133
Schiffbeker Weg,53.57098,10.125748
Denksteinweg,53.571072,10.131215
Gleiwitzer Bogen,53.570484,10.141072
Holsteiner Tor,53.569784,10.149507
Jenfeld-Zentrum,53.571474,10.136238
Jenfelder Straße,53.573999,10.135234
Schweidnitzer Straße,53.57679,10.135656
Liegnitzer Straße,53.580194,10.137725
Berliner Platz,53.583971,10.141149
Potsdamer Straße,53.586122,10.149271
Hüllenkamp,53.587535,10.154564
Friedhof Tonndorf,53.583204,10.114794
Jenfelder Allee,53.574807,10.126816
Bekkamp,53.575906,10.143558
Glatzer Straße,53.579585,10.145016
Schimmelmannstraße (Mitte),53.57328,10.104584
Am Jenfelder Moor,53.57628,10.113449
Albert-Schweitzer-Ring,53.579424,10.123104
Köpenicker Straße,53.584474,10.133552
Kuehnstraße,53.58221,10.126923
Wilsonstraße,53.588176,10.129845
Loher Straße,53.594052,10.145015
Brockdorffstraße,53.596977,10.152919
Wilhelm-Grimm-Straße,53.600404,10.156215
Paracelsusstraße,53.597745,10.131762
Stemmeshay,53.591521,10.130478
Walddörferstraße,53.580405,10.081049
Friedrich-Ebert-Damm (West),53.584939,10.079489
Tilsiter Straße,53.589967,10.077926
U Wandsbek-Gartenstadt,53.592304,10.075795
Haldesdorfer Straße,53.59663,10.072355
Werner-Otto-Straße,53.602361,10.069555
Rahnstraße,53.60612,10.071206
Steilshooper Allee,53.609257,10.073114
Bramfelder Dorfplatz,53.61505,10.076359
Werner-Otto-Straße (Mitte),53.600014,10.069813
Rahlstedter Weg (Mitte),53.602834,10.127668
U Farmsen,53.607197,10.117481
Berufsförderungswerk Hamburg,53.612167,10.115451
Pflegezentrum Farmsen,53.614006,10.114865
Neusurenland,53.617003,10.113342
Stuhtsweg,53.619778,10.112554
Karlshöhe,53.623052,10.111249
Eissporthalle,53.604267,10.119533
Eckerkoppel,53.600627,10.118247
Ebeersreye,53.595426,10.115569
Rentenversicherung Nord,53.592088,10.108352
Sylter Weg,53.590261,10.104755
Am Stadtrand,53.588823,10.097952
Helbingtwiete,53.587782,10.092941
Stephanstraße,53.586673,10.087401
Scharbeutzer Straße,53.599822,10.131636
Boltenhagener Straße,53.600091,10.136387
Timmendorfer Straße,53.603969,10.131158
Kohövedstraße,53.608794,10.144326
Alter Zollweg,53.608323,10.137197
Treptower Straße,53.613419,10.136171
Greifenberger Straße,53.616722,10.135579
Zamenhofweg,53.622155,10.134033
Busbrookhöhe,53.623509,10.131499
Berner Heerweg,53.618782,10.124859
Hermelinweg,53.616159,10.121964
Tegelweg,53.605812,10.105992
Haldesdorfer Straße (Nord),53.607389,10.089837
Heukoppel,53.611321,10.080404
Berner Chaussee,53.618641,10.079699
Ellernreihe,53.605506,10.080304
Karl-Müller-Ring,53.602981,10.078214
Hegholt,53.601372,10.081256
Carl-Bremer-Ring,53.60304,10.084654
Turnierstieg,53.5994,10.091512
Barmwisch,53.596863,10.091734
Voßkulen,53.59485,10.085729
Rauschener Ring,53.594388,10.081199
Swebenhöhe,53.609678,10.108677
Rönkkoppel,53.613563,10.107404
Eichtalstraße,53.577939,10.089411
Kurfürstenstraße,53.579133,10.097368
Ölmühlenweg (Süd),53.579924,10.101284
Birtstraße,53.575481,10.090544
Ziethenstraße,53.576628,10.101138
Pulverhofsweg,53.598694,10.124476
Heinrich-Helbing-Straße,53.59474,10.060647
Bauernrosenweg,53.598197,10.065975
Fabriciusstraße,53.608546,10.068216
Ellernreihe (Mitte),53.608851,10.080326
Bullenkoppel,53.595293,10.091406
"Barsbüttel, Rathaus",53.568937,10.169137
"Barsbüttel, Bergredder",53.568813,10.175413
"Barsbüttel, Am Bondenholz",53.568922,10.180775
"Barsbüttel, Von-Bronsart-Straße",53.568427,10.187177
"Willinghusen, Feldweg",53.565904,10.197823
"Willinghusen, Alte Dorfstraße",53.561624,10.202546
"Willinghusen, Lohe",53.559706,10.203895
"Willinghusen, Zum Tunnel",53.562308,10.205101
Hoffmannstieg,53.60316,10.180446
Prehnsweg,53.604576,10.175364
Sieker Landstraße,53.605613,10.168549
Schweriner Straße,53.605055,10.162158
Großlohe,53.602107,10.18155
"Barsbüttel, Kielende",53.570708,10.187361
Am Hegen,53.589087,10.180567
Sorenkoppel,53.591001,10.185121
Geesthachter Weg,53.588544,10.170962
Kielkoppelstraße,53.590143,10.166415
Schimmelreiterweg,53.59057,10.178721
Waldwinkel,53.592128,10.173825
Am Ohlendorffturm,53.595291,10.168264
Theodor-Storm-Straße,53.593208,10.160761
Amtsstraße,53.596053,10.164796
Buchwaldstraße,53.598957,10.162806
Altes Rathaus Rahlstedt,53.602274,10.158955
Seniorensitz Am Hegen,53.59286,10.171595
Heinrich-Schulz-Weg,53.598771,10.179976
U Meiendorfer Weg,53.639061,10.157045
Bargkoppelweg,53.62608,10.161376
U Berne (Kriegkamp),53.625979,10.140136
Rauchschwalbenweg,53.620823,10.142732
Greifenberger Straße (Ost),53.618631,10.144638
Berner Straße,53.619078,10.149547
Redderblock,53.616203,10.152088
Bargteheider Straße (Nord),53.614041,10.155666
Sandkule,53.607385,10.149728
Haffkruger Weg,53.609107,10.150107
Hohenkamp,53.605993,10.146018
U Berne (Berner Heerweg),53.626837,10.138723
Bf. Rahlstedt (Doberaner Weg),53.604236,10.152996
Gerstenwiese,53.61837,10.160484
Saseler Straße,53.622196,10.165289
Wildschwanbrook,53.626778,10.169059
Wildschwanbrook (Mitte),53.629173,10.175912
Hellmesbergerweg,53.630249,10.178814
Skaldenweg,53.633005,10.179965
Offenbachweg,53.632863,10.174337
Lapplandring,53.63056,10.169103
Spitzbergenweg,53.628855,10.166084
Von-Suppé-Straße,53.632985,10.164619
Ringstraße,53.636448,10.162432
Künnekestraße,53.635888,10.178337
Eichberg,53.61299,10.164824
Bf. Rahlstedt (Amtsstraße),53.603763,10.153392
Liliencronpark,53.600963,10.153239
Eggerskamp,53.610681,10.156526
Forum Gymnasium Rahlstedt,53.60032,10.142556
Uferstraße,53.567526,10.030547
Mundsburger Brücke,53.565448,10.020339
U Mundsburg,53.569963,10.02721
Beethovenstraße,53.574808,10.021696
U Hamburger Straße,53.575225,10.035928
U Dehnhaide,53.579289,10.041825
Flachsland,53.584032,10.047046
Wachtelstraße,53.588456,10.052833
Habichtstraße (Mitte),53.591166,10.056329
Biedermannplatz,53.580414,10.03228
Brucknerstraße (Arbeitsgerichte),53.58404,10.033788
Averhoffstraße,53.570934,10.016546
Zimmerstraße,53.574263,10.01495
Hebbelstraße,53.577388,10.018452
Hans-Henny-Jahnn-Weg,53.578612,10.013952
Gertigstraße,53.580241,10.012557
Goldbekplatz,53.583985,10.009762
Dorotheenstraße,53.586998,10.005137
Semperstraße,53.586369,10.016841
U Sierichstraße,53.590668,10.002491
Winterhuder Marktplatz,53.594331,9.999633
Ohlsdorfer Straße (Planetarium),53.59918,10.006484
Jahnring (Mitte),53.599949,10.012167
Überseering (West),53.600369,10.01636
Stadtpark (Planetarium),53.595804,10.013639
Maria-Louisen-Straße (Nord),53.591518,10.007148
U Borgweg,53.590684,10.01548
Wiesendamm (Mitte),53.589048,10.022991
U Saarlandstraße,53.588106,10.032256
Großheidestraße,53.585585,10.027619
Jarrestraße (Kampnagel),53.584189,10.021405
Herderstraße,53.580385,10.019531
Mozartstraße,53.578383,10.021858
Schumannstraße,53.576406,10.023984
Hellbrookstraße,53.590882,10.043651
Hermann-Kauffmann-Straße,53.59432,10.044053
Neue Wöhr,53.599203,10.041575
Habichtsplatz,53.596295,10.046292
Hartzloh,53.601904,10.040932
AK Barmbek,53.605401,10.039688
Hebebrandstraße,53.6078,10.038614
S Rübenkamp,53.607409,10.032939
Schmuckshöhe,53.611463,10.036906
Feuerbergstraße,53.613745,10.035904
Eichenlohweg,53.60819,10.04438
Gründgensstraße (West),53.611336,10.046377
Fritz-Flinte-Ring,53.610663,10.049321
Alfred-Mahlau-Weg,53.609942,10.05367
Leeschenblick,53.61346,10.071316
Schwarzer Weg,53.60618,10.055329
Richeystraße,53.603425,10.051861
Langenfort,53.599752,10.050682
U Habichtstraße (Steilshooper Straße),53.595402,10.050113
Hellbrookkamp,53.597793,10.060814
Buschrosenweg,53.601695,10.062665
Fabriciusstraße (Mitte),53.604821,10.06578
Owiesenstraße,53.605862,10.066954
Gustav-Seitz-Weg,53.608615,10.063549
Gründgensstraße (Ost),53.61376,10.06596
Borchertring,53.614903,10.067757
Erich-Ziegel-Ring,53.611735,10.06331
Burmesterstraße,53.587678,10.036988
Genslerstraße,53.593383,10.038079
S Alte Wöhr,53.598131,10.036715
Lauensteinstraße,53.599897,10.036154
Brillkamp,53.646632,10.049749
Alsterredder,53.65887,10.095416
Poppenbüttler Markt,53.658929,10.08495
Schönsberg,53.659346,10.113899
Rögenweg,53.656211,10.160132
Eulenkrugstraße,53.646403,10.158759
U Volksdorf,53.650216,10.162145
Uppenhof,53.647053,10.160379
Wiesenhöfen,53.647558,10.169361
Gut Karlshöhe,53.628861,10.10785
Cornehlsweg,53.646996,10.178102
Herkenkrug,53.645454,10.183185
Buchenstieg,53.647866,10.185582
U Buchenkamp,53.653058,10.186605
Moorredder,53.659243,10.182664
Gussau,53.658978,10.174912
Ahrensburger Platz,53.655824,10.175898
Im Allhorn,53.653907,10.174347
Lerchenberg,53.653341,10.168811
Claus-Ferck-Straße,53.651917,10.16741
Halenreie,53.653263,10.160263
Rögenfeld,53.653289,10.151067
Hültkoppel,53.653094,10.140429
Saselbekstraße,53.656002,10.134155
Steinwegel,53.655142,10.125253
Op de Elg,53.654518,10.117084
Saseler Markt,53.653907,10.111335
Alstertal-Einkaufszentrum,53.654787,10.092875
Schulbergredder,53.656385,10.086094
Müssenredder (Mitte),53.655484,10.073381
Wesselstraat,53.655403,10.067419
Norbert-Schmid-Platz,53.653767,10.063415
Högenkamp,53.656962,10.060788
Heidkamp,53.659676,10.059767
Tegelsbarg (Nord),53.661467,10.059434
Leuteritzweg,53.658855,10.060094
Landahlweg,53.65609,10.060917
Ruscheweyhstraße,53.649086,10.060318
Am Hehsel,53.646953,10.055652
Poppenbüttler Stieg,53.644884,10.051865
EKZ Hummelsbüttel,53.642461,10.04745
Hummelsbüttler Hauptstraße,53.640943,10.03707
Am Gnadenberg,53.637788,10.035102
Kurzer Kamp,53.637077,10.029975
U Fuhlsbüttel,53.632376,10.02602
Plattenfoort,53.628867,10.136903
Brombeerweg (West),53.628768,10.026613
Erdkampsweg (Ost),53.62832,10.02438
Heinrich-Traun-Platz,53.633498,10.034544
